team,buts_marques_depuis_2021
Argentine,112
Angleterre,108
Espagne,107
France,102
Brésil,99
Portugal,84
Pays-Bas,83
Japon,81
Colombie,80
États-Unis,77
Allemagne,69
Belgique,69
Canada,69
Mexique,68
Corée du Sud,66
Norvège,62
Uruguay,61
Suisse,58
Écosse,58
Iran,58
Irak,56
Croatie,55
Suède,53
Équateur,50
Autriche,49
Turquie,49
Australie,49
Arabie Saoudite,48
Maroc,45
Ouzbékistan,45
Sénégal,44
Jordanie,43
Panama,42
Algérie,41
Tchéquie,41
Qatar,41
Paraguay,39
Ghana,36
Bosnie-Herzégovine,35
Égypte,34
Congo DR,32
Côte d'Ivoire,31
Cap-Vert,30
Tunisie,29
Haïti,25
Nouvelle-Zélande,23
Curaçao,23
Afrique du Sud,22
