team,valeur_marchande_euros
Angleterre,1720000000
France,1440000000
Espagne,1390000000
Portugal,920000000
Brésil,827000000
Allemagne,823000000
Argentine,755000000
Pays-Bas,617000000
Norvège,537000000
Belgique,505000000
Turquie,423000000
Uruguay,390000000
Croatie,299000000
Maroc,292000000
Japon,261000000
Suisse,259000000
États-Unis,248000000
Colombie,237000000
Ghana,234000000
Équateur,217000000
Sénégal,194000000
Canada,170000000
Corée du Sud,169000000
Mexique,151000000
Suède,124000000
Autriche,120000000
Écosse,110000000
Algérie,106000000
Côte d'Ivoire,101000000
Égypte,92000000
Tchéquie,87000000
Bosnie-Herzégovine,83000000
Paraguay,78000000
Irak,60000000
Ouzbékistan,55000000
Panama,50000000
Tunisie,50000000
Cap-Vert,48000000
Iran,47000000
Australie,38000000
Congo DR,32000000
Curaçao,29000000
Jordanie,28000000
Nouvelle-Zélande,18000000
Arabie Saoudite,13000000
Qatar,13000000
Haïti,11000000
Afrique du Sud,6500000
